VendorName,StockTurnover
ALISA CARR BEVERAGES,0.615384615
HIGHLAND WINE MERCHANTS LLC,0.708333333
PARK STREET IMPORTS LLC,0.751306165
Circa Wines,0.755675817
Dunn Wine Brokers,0.766022131
CENTEUR IMPORTS LLC,0.773952953
SMOKY QUARTZ DISTILLERY LLC,0.783834586
TAMWORTH DISTILLING,0.797077922
THE IMPORTED GRAPE LLC,0.807569164
WALPOLE MTN VIEW WINERY,0.820547968
BRONCO WINE COMPANY,0.822600781
SOUTHERN GLAZERS W&S OF NE,0.825551684
FORTUNE WINE BROKERS LLC,0.841545553
STELLAR IMPORTING CO LLC,0.844898817
VINILANDIA USA,0.846863738
WEIN BAUER INC,0.847014925
SWEETWATER FARM,0.851047417
CRUSH WINES,0.8512176
NICHE W & S,0.85276649
PREMIER DISTRIBUTORS,0.853384691
PSP WINES,0.860048982
FREDERICK WILDMAN & SONS,0.860533242
CALEDONIA SPIRITS INC,0.863362223
STATE WINE & SPIRITS,0.866970059
DIAGEO CHATEAU ESTATE WINES,0.867992947
MOONLIGHT MEADERY,0.871566412
JEWELL TOWNE VINEYARDS,0.872384256
AMERICAN SPIRITS EXCHANGE,0.875
SWEET BABY VINEYARD,0.876637549
SURVILLE ENTERPRISES CORP,0.877070937
PINE STATE TRADING CO,0.87931385
KLIN SPIRITS LLC,0.879938514
FULCHINO VINEYARD INC,0.87995697
DJINN SPIRITS LLC,0.881116332
PERFECTA WINES,0.88171366
EDRINGTON AMERICAS,0.884954171
KOBRAND CORPORATION,0.885483138
ATLANTIC IMPORTING COMPANY,0.893078222
LATITUDE BEVERAGE COMPANY,0.895661445
SEA BREEZE CELLARS LLC,0.895957578
M S WALKER INC,0.896111469
WESTERN SPIRITS BEVERAGE CO,0.896929544
DUGGANS DISTILLED PRODUCTS,0.897117019
FABRIZIA SPIRITS LLC,0.899138086
MARTIGNETTI COMPANIES,0.900364642
ULTRA BEVERAGE COMPANY LLP,0.90077535
WINE GROUP INC,0.901036353
SOUTHERN WINE & SPIRITS NE,0.903225533
STE MICHELLE WINE ESTATES,0.906734489
VRANKEN AMERICA,0.908150453
TRINCHERO FAMILY ESTATES,0.908163147
WILLIAM GRANT & SONS INC,0.90823711
ZORVINO VINEYARDS,0.912737684
HAUNTING WHISPER VYDS,0.91341943
R.P.IMPORTS INC,0.914285714
MOET HENNESSY USA INC,0.914601865
MILTONS DISTRIBUTING CO,0.916666667
POVERTY LANE ORCHARDS,0.916666667
E & J GALLO WINERY,0.916825036
SHAW ROSS INT L IMP LTD,0.918715732
LAIRD & CO,0.919843547
BANFI PRODUCTS CORP,0.920138833
VINEXTRA INC,0.920691247
PALM BAY INTERNATIONAL INC,0.92247469
FLAG HILL WINERY & VINEYARD,0.924893523
CONSTELLATION BRANDS INC,0.924967249
PERNOD RICARD USA,0.926520655
DELICATO VINEYARDS INC,0.926903024
TALL SHIP DISTILLERY LLC,0.926977688
TREASURY WINE ESTATES,0.927792555
LABELLE VYDS AND WINERY,0.929349099
INCREDIBREW INC,0.930761521
BROWN-FORMAN CORP,0.931032615
MHW LTD,0.932867598
MAJESTIC FINE WINES,0.93376575
"STOLI GROUP,(USA) LLC",0.93399552
PROXIMO SPIRITS INC.,0.935775848
MANGO BOTTLING INC,0.9380528
VINEYARD BRANDS INC,0.940282215
SEA HAGG DISTILLERY LLC,0.940365838
BACARDI USA INC,0.941635632
OLE SMOKY DISTILLERY LLC,0.943772964
BULLY BOY DISTILLERS,0.946165222
CAMPARI AMERICA,0.946391546
THE PIERPONT GROUP LLC,0.946564885
JIM BEAM BRANDS COMPANY,0.94710578
REMY COINTREAU USA INC,0.947350159
CHARLES JACQUIN ET CIE INC,0.947939037
MARSALLE COMPANY,0.948126893
"HOOD RIVER DISTILLERS, Inc.",0.948333333
SAZERAC CO INC,0.950578162
DIAGEO NORTH AMERICA INC,0.953169398
HEAVEN HILL DISTILLERIES,0.955488269
CASTLE BRANDS CORP.,0.958151816
ALTAMAR BRANDS LLC,0.959375
CANDIA VINEYARDS,0.961084862
LUXCO INC,0.96156465
AMERICAN VINTAGE BEVERAGE,0.962800956
SIDNEY FRANK IMPORTING CO,0.962886869
SAZERAC NORTH AMERICA INC.,0.963239259
MCCORMICK DISTILLING CO,0.963638738
BLACK PRINCE DISTILLERY INC,0.969135802
DISARONNO INTERNATIONAL LLC,0.975577294
"PREMIUM PORT WINES, INC.",0.976076539
TY KU LLC,0.976982461
PHILLIPS PRODUCTS CO.,0.980847894
TAKARA SAKE USA INC,0.984105072
